"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "Ignore", "comment", "blank", "total"
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\.prettierrc.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\cypress.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\cypress\e2e\blog_app.cy.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 11, 98
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\cypress\fixtures\example.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\cypress\support\commands.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\cypress\support\e2e.js", "JavaScript", 1, 0, 0, 0, 0, 0, 17, 3, 21
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\package-lock.json", "JSON", 0, 0, 40190, 0, 0, 0, 0, 1, 40191
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\package.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 1, 47
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\App.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\Blog.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 11, 90
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\Blog.test.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 10, 73
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\BlogForm.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\Blogs.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\Login.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\NavigationBar.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\Notification.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\Toggable.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\User.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\components\Users.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\index.css", "CSS", 0, 172, 0, 0, 0, 0, 0, 35, 207
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\reducers\blogReducer.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\reducers\commentReducer.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\reducers\loginReducer.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\reducers\notificationReducer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\reducers\userReducer.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\services\blogs.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\services\comments.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\services\login.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Otto\Fullstack\Fullstack-osa07\bloglist-frontend\src\services\users.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 5, 17
"Total", "-", 851, 172, 40267, 0, 20, 2, 41, 186, 41539